Test Date: 2025-03-23 22:24:59
Test duration: approximately 96 seconds
Average CPU usage: 4.37%
Peak CPU usage: 32.90%

CPU Usage:
15.18, 4.60
16.19, 10.00
17.20, 10.70
18.21, 8.60
19.23, 17.00
20.24, 5.00
21.25, 20.00
22.25, 4.00
23.26, 20.30
24.26, 4.30
25.27, 21.40
26.28, 6.00
27.29, 10.50
28.30, 5.60
29.31, 10.40
30.32, 8.00
31.32, 7.70
32.33, 9.70
33.35, 13.80
34.35, 8.70
35.36, 6.40
36.38, 11.30
37.39, 4.40
38.39, 12.10
39.39, 2.60
40.40, 13.20
41.40, 3.00
42.41, 17.40
43.41, 2.00
44.42, 11.70
45.42, 3.40
46.43, 9.00
47.43, 4.40
48.43, 7.30
49.43, 5.60
50.44, 10.00
51.45, 5.90
52.45, 6.70
53.45, 2.30
54.47, 2.60
55.47, 3.10
56.47, 2.70
57.48, 1.50
58.49, 0.30
59.49, 0.30
60.50, 0.10
61.51, 0.00
62.52, 0.00
63.53, 0.00
64.53, 0.00
65.54, 0.10
66.55, 0.40
67.55, 0.40
68.56, 0.00
69.57, 0.00
70.58, 0.30
71.60, 0.30
72.60, 0.00
73.61, 0.00
74.62, 0.00
75.64, 0.00
76.64, 0.10
77.65, 0.00
78.65, 0.00
79.65, 0.50
80.66, 0.00
81.67, 0.10
82.67, 0.90
83.68, 1.00
84.68, 0.80
85.69, 0.30
86.70, 1.50
87.71, 1.20
88.71, 0.00
89.72, 2.00
90.73, 0.90
91.75, 0.30
92.75, 0.90
93.76, 0.30
94.77, 32.90
95.79, 11.40
96.80, 1.70
97.81, 0.10
98.82, 0.30
99.83, 0.50
100.84, 0.00
101.85, 0.00
102.86, 0.00
103.87, 0.00
104.89, 0.50
105.89, 2.10
106.91, 0.10
107.92, 0.00
108.93, 0.10
109.94, 0.80
110.95, 0.80
