Test Date: 2025-03-23 22:19:25
Test duration: approximately 48 seconds
Average CPU usage: 4.94%
Peak CPU usage: 22.80%

CPU Usage:
19.19, 8.10
20.19, 6.20
21.20, 17.30
22.21, 11.20
23.22, 22.80
24.23, 4.80
25.24, 20.10
26.25, 6.00
27.26, 17.80
28.28, 4.50
29.29, 19.70
30.30, 5.90
31.30, 17.70
32.31, 6.30
33.33, 14.20
34.34, 9.20
35.35, 12.20
36.36, 12.30
37.37, 10.80
38.38, 0.60
39.38, 0.50
40.40, 1.50
41.41, 0.80
42.42, 0.40
43.42, 0.60
44.43, 0.30
45.43, 0.70
46.43, 0.30
47.44, 0.60
48.45, 0.00
49.46, 0.30
50.47, 0.10
51.48, 0.10
52.49, 0.00
53.51, 0.00
54.52, 0.90
55.53, 0.00
56.54, 0.00
57.55, 0.90
58.56, 0.50
59.57, 0.10
60.57, 0.00
61.59, 0.00
62.60, 0.00
63.61, 0.00
64.62, 0.10
65.63, 0.40
66.64, 0.40
