Test Date: 2025-03-24 22:12:00
Test duration: approximately 37 seconds
Average CPU usage: 1.64%
Peak CPU usage: 7.70%

CPU Usage:
3.34, 0.30
4.35, 4.80
5.36, 3.70
6.38, 7.70
7.39, 4.90
8.41, 2.60
9.42, 3.40
10.43, 2.20
11.44, 0.50
12.45, 2.10
13.46, 3.10
14.47, 4.00
15.48, 0.40
16.49, 2.00
17.50, 2.20
18.51, 0.80
19.51, 1.20
20.52, 0.00
21.53, 1.00
22.54, 0.30
23.55, 0.50
24.55, 0.00
25.57, 0.30
26.58, 0.80
27.60, 0.80
28.60, 0.40
29.61, 0.10
30.62, 1.60
31.62, 0.30
32.63, 0.10
33.63, 0.50
34.64, 0.40
35.65, 1.30
36.65, 0.70
37.66, 1.30
38.67, 0.70
39.67, 3.80
