Test Date: 2025-03-24 22:06:02
Test duration: approximately 38 seconds
Average CPU usage: 1.98%
Peak CPU usage: 9.30%

CPU Usage:
3.68, 2.60
4.68, 4.60
5.69, 9.30
6.69, 4.90
7.71, 3.00
8.72, 2.30
9.73, 2.00
10.74, 2.40
11.75, 0.90
12.77, 2.80
13.77, 1.80
14.79, 2.30
15.80, 1.70
16.81, 0.90
17.82, 1.40
18.82, 2.10
19.83, 2.10
20.84, 0.50
21.84, 1.00
22.84, 0.30
23.86, 0.90
24.87, 1.00
25.89, 0.10
26.90, 0.50
27.90, 0.70
28.91, 0.80
29.92, 3.10
30.92, 0.80
31.92, 0.50
32.93, 0.30
33.93, 2.20
34.94, 5.80
35.95, 0.90
36.95, 0.10
37.96, 0.10
38.96, 1.00
39.97, 0.80
40.99, 6.70
