Test Date: 2025-03-31 16:47:41
Test duration: approximately 37 seconds
Average CPU usage: 3.22%
Peak CPU usage: 6.90%

CPU Usage:
4.55, 1.60
5.57, 4.70
6.58, 5.10
7.59, 4.20
8.60, 5.00
9.61, 4.50
10.62, 4.70
11.63, 5.20
12.64, 5.30
13.65, 6.10
14.66, 3.20
15.67, 4.40
16.68, 4.80
17.68, 3.60
18.69, 4.00
19.69, 6.90
20.70, 3.00
21.70, 6.10
22.71, 2.20
23.72, 3.60
24.72, 2.70
25.73, 2.40
26.73, 4.00
27.74, 2.70
28.75, 1.70
29.77, 1.80
30.77, 1.60
31.78, 1.70
32.79, 2.40
33.80, 2.70
34.81, 1.20
35.83, 0.30
36.83, 0.40
37.84, 0.80
38.84, 0.80
39.85, 0.50
40.86, 1.70
